,latitude,longitude,timestamp,value,pollutant,date
1132,42.62557,20.89621,2020-06-10 15:00:00+00:00,75.0,co,2020-06-10 15:00:00+00:00
1208,55.99404,37.172142,2017-09-11 08:00:00+00:00,370.0,co,2017-09-11 08:00:00+00:00
1283,45.80034,15.974072,2020-06-10 22:00:00+00:00,0.0,co,2020-06-10 22:00:00+00:00
1371,41.25112,29.03828,2018-06-21 13:00:00+00:00,270.0,co,2018-06-21 13:00:00+00:00
1387,55.990154,37.227837,2017-09-11 08:00:00+00:00,270.0,co,2017-09-11 08:00:00+00:00
1480,55.77719,37.472652,2017-09-11 08:00:00+00:00,440.0,co,2017-09-11 08:00:00+00:00
1484,53.34722,-6.266667,2018-04-30 13:00:00+00:00,0.05735562,co,2018-04-30 13:00:00+00:00
1518,24.162197,120.61692,2020-06-11 01:00:00+00:00,0.39,co,2020-06-11 01:00:00+00:00
1585,47.676113,17.649736,2017-07-11 00:00:00+00:00,539.0075,co,2017-07-11 00:00:00+00:00
1600,47.79,18.746122,2017-07-11 00:00:00+00:00,260.85773,co,2017-07-11 00:00:00+00:00
1620,22.564137,120.42531,2020-06-11 01:00:00+00:00,0.14,co,2020-06-11 01:00:00+00:00
1626,47.402916,8.613398,2020-06-11 01:00:00+00:00,159.1,co,2020-06-11 01:00:00+00:00
1706,47.054474,12.958378,2017-07-20 19:00:00+00:00,134.82613,co,2017-07-20 19:00:00+00:00
2036,-33.682777,150.90361,2020-06-11 00:00:00+00:00,0.3,co,2020-06-11 00:00:00+00:00
2047,-38.239292,146.3873,2020-06-11 01:00:00+00:00,0.3,co,2020-06-11 01:00:00+00:00
2467,-23.518705,-46.74332,2017-10-27 18:00:00+00:00,1.1,co,2017-10-27 18:00:00+00:00
2475,-23.531395,-46.83578,2017-10-27 18:00:00+00:00,0.6,co,2017-10-27 18:00:00+00:00
2835,51.0814,-114.1403,2020-06-11 00:00:00+00:00,0.12,co,2020-06-11 00:00:00+00:00
3005,53.077152,8.81578,2020-06-11 00:00:00+00:00,170.0,co,2020-06-11 00:00:00+00:00
3010,51.75413,14.325549,2016-12-21 11:00:00+00:00,450.0,co,2016-12-21 11:00:00+00:00
3061,53.63829,9.998009,2019-12-31 01:00:00+00:00,330.0,co,2019-12-31 01:00:00+00:00
3073,48.48933,9.21079,2020-05-14 07:00:00+00:00,500.0,co,2020-05-14 07:00:00+00:00
3091,43.3675,-4.04278,2020-06-10 01:00:00+00:00,100.0,co,2020-06-10 01:00:00+00:00
3103,40.051945,-0.18972223,2020-06-11 00:00:00+00:00,100.0,co,2020-06-11 00:00:00+00:00
3112,28.133732,-15.432823,2020-06-04 02:00:00+00:00,300.0,co,2020-06-04 02:00:00+00:00
3184,43.34639,-4.06417,2020-06-10 01:00:00+00:00,400.0,co,2020-06-10 01:00:00+00:00
3258,41.73028,1.8253064,2018-07-31 11:00:00+00:00,300.0,co,2018-07-31 11:00:00+00:00
3373,41.509724,-5.746389,2018-12-26 09:00:00+00:00,700.0,co,2018-12-26 09:00:00+00:00
3854,29.5364,75.0158,2020-06-10 16:30:00+00:00,820.0,co,2020-06-10 16:30:00+00:00
4900,28.725645,77.74967,2020-06-10 02:00:00+00:00,550.0,co,2020-06-10 02:00:00+00:00
5641,22.49929,88.36917,2020-06-10 21:30:00+00:00,320.0,co,2020-06-10 21:30:00+00:00
5702,12.9352045,77.68145,2020-06-11 01:45:00+00:00,600.0,co,2020-06-11 01:45:00+00:00
6070,18.91,72.82,2020-06-10 21:15:00+00:00,380.0,co,2020-06-10 21:15:00+00:00
6312,28.531345,77.190155,2020-06-10 01:30:00+00:00,800.0,co,2020-06-10 01:30:00+00:00
6373,28.422682,77.14894,2020-06-11 01:30:00+00:00,760.0,co,2020-06-11 01:30:00+00:00
6541,9.969447,76.32118,2020-06-11 01:45:00+00:00,1370.0,co,2020-06-11 01:45:00+00:00
6625,28.56789,77.25052,2020-06-11 01:15:00+00:00,1400.0,co,2020-06-11 01:15:00+00:00
7013,40.83139,8.405278,2020-06-10 18:00:00+00:00,106.5,co,2020-06-10 18:00:00+00:00
7468,42.46639,14.21306,2020-06-10 23:00:00+00:00,560.0,co,2020-06-10 23:00:00+00:00
7490,45.16444,10.78194,2020-06-03 19:00:00+00:00,469.095,co,2020-06-03 19:00:00+00:00
7835,45.44034,8.61969,2020-06-10 23:00:00+00:00,300.0,co,2020-06-10 23:00:00+00:00
7883,42.53417,12.52194,2020-06-10 22:00:00+00:00,700.0,co,2020-06-10 22:00:00+00:00
8358,20.68,-103.39833,2020-06-11 00:00:00+00:00,0.21,co,2020-06-11 00:00:00+00:00
8486,20.565228,-101.18824,2020-06-11 00:00:00+00:00,3.15,co,2020-06-11 00:00:00+00:00
9750,45.238644,19.835705,2020-06-11 01:00:00+00:00,425.17,co,2020-06-11 01:00:00+00:00
9897,45.821484,20.454008,2020-06-11 01:00:00+00:00,132.78,co,2020-06-11 01:00:00+00:00
10308,18.791092,98.98866,2020-06-11 00:00:00+00:00,0.34,co,2020-06-11 00:00:00+00:00
10738,38.650715,-121.50665,2017-06-01 17:00:00+00:00,0.0,co,2017-06-01 17:00:00+00:00
11209,40.85355,-73.9661,2020-05-26 12:00:00+00:00,1.1,co,2020-05-26 12:00:00+00:00
11648,37.864765,-122.30274,2020-06-11 00:00:00+00:00,0.61,co,2020-06-11 00:00:00+00:00
11718,39.787933,-86.13088,2020-06-11 00:00:00+00:00,0.34,co,2020-06-11 00:00:00+00:00
12655,39.0553,-76.8783,2020-06-11 00:00:00+00:00,0.12,co,2020-06-11 00:00:00+00:00
12786,33.62999,-117.67587,2020-06-10 23:00:00+00:00,0.13,co,2020-06-10 23:00:00+00:00
13285,41.13075,30.00658,2018-10-13 20:00:00+00:00,86.0,o3,2018-10-13 20:00:00+00:00
13292,-11.981636,-76.999245,2020-06-11 01:00:00+00:00,19.85,o3,2020-06-11 01:00:00+00:00
13408,31.81847,34.66911,2019-04-03 21:00:00+00:00,0.0138,o3,2019-04-03 21:00:00+00:00
13633,59.409744,27.2786,2020-06-11 02:00:00+00:00,51.3456,o3,2020-06-11 02:00:00+00:00
13656,40.857872,29.120995,2018-06-16 15:00:00+00:00,9.0,o3,2018-06-16 15:00:00+00:00
13661,53.18722,-6.121667,2020-06-09 16:00:00+00:00,64.115,o3,2020-06-09 16:00:00+00:00
13796,22.674862,120.292915,2020-06-11 01:00:00+00:00,0.021,o3,2020-06-11 01:00:00+00:00
13852,58.702778,26.758898,2020-06-11 02:00:00+00:00,40.0009,o3,2020-06-11 02:00:00+00:00
13855,36.792,119.952,2020-06-11 01:00:00+00:00,90.0,o3,2020-06-11 01:00:00+00:00
13928,42.53488,1.716986,2020-06-11 01:00:00+00:00,83.0,o3,2020-06-11 01:00:00+00:00
14391,47.156483,9.822944,2020-06-10 18:00:00+00:00,61.038,o3,2020-06-10 18:00:00+00:00
14401,48.20815,16.373253,2020-06-10 18:00:00+00:00,58.765,o3,2020-06-10 18:00:00+00:00
14574,48.306118,14.2975025,2020-06-10 18:00:00+00:00,34.419,o3,2020-06-10 18:00:00+00:00
14648,46.626617,14.299145,2020-06-10 18:00:00+00:00,68.155,o3,2020-06-10 18:00:00+00:00
14742,47.217224,15.628333,2017-07-20 19:00:00+00:00,0.0,o3,2017-07-20 19:00:00+00:00
14747,47.63056,13.796667,2020-06-10 17:00:00+00:00,47.37,o3,2020-06-10 17:00:00+00:00
14772,48.301373,16.304691,2016-12-12 09:00:00+00:00,44.0,o3,2016-12-12 09:00:00+00:00
14853,47.125847,13.806927,2016-12-12 09:00:00+00:00,66.0,o3,2016-12-12 09:00:00+00:00
15094,-27.6528,152.774,2020-06-11 01:00:00+00:00,0.014,o3,2020-06-11 01:00:00+00:00
15106,-34.066666,150.79527,2020-06-11 00:00:00+00:00,0.004,o3,2020-06-11 00:00:00+00:00
15127,-27.7708,153.03,2020-06-11 01:00:00+00:00,0.019,o3,2020-06-11 01:00:00+00:00
15204,-34.41861,150.88638,2020-06-11 00:00:00+00:00,0.013,o3,2020-06-11 00:00:00+00:00
16585,43.2561,-79.8617,2020-06-11 00:00:00+00:00,0.035,o3,2020-06-11 00:00:00+00:00
17171,46.2406,-63.1306,2020-06-11 00:00:00+00:00,0.027,o3,2020-06-11 00:00:00+00:00
19090,50.683525,14.041195,2020-06-11 00:00:00+00:00,73.6,o3,2020-06-11 00:00:00+00:00
19303,49.6287,8.3649,2020-06-11 00:00:00+00:00,74.15,o3,2020-06-11 00:00:00+00:00
19327,54.436985,12.721938,2020-05-14 08:00:00+00:00,77.37,o3,2020-05-14 08:00:00+00:00
19354,48.173195,11.648036,2020-06-11 00:00:00+00:00,46.43,o3,2020-06-11 00:00:00+00:00
19395,52.800774,10.756733,2020-05-14 08:00:00+00:00,60.6,o3,2020-05-14 08:00:00+00:00
19400,49.991516,9.117973,2020-06-11 00:00:00+00:00,27.51,o3,2020-06-11 00:00:00+00:00
19444,52.47319,13.225144,2020-06-11 00:00:00+00:00,65.41,o3,2020-06-11 00:00:00+00:00
19458,48.048656,8.463597,2020-05-14 07:00:00+00:00,55.187,o3,2020-05-14 07:00:00+00:00
19475,50.933514,11.597062,2020-06-11 00:00:00+00:00,29.94,o3,2020-06-11 00:00:00+00:00
19668,43.250557,-2.155,2020-06-10 03:00:00+00:00,72.0,o3,2020-06-10 03:00:00+00:00
19695,43.302776,-1.9844445,2017-07-20 10:00:00+00:00,33.0,o3,2017-07-20 10:00:00+00:00
19839,41.27417,-3.1425,2020-06-10 06:00:00+00:00,27.17,o3,2020-06-10 06:00:00+00:00
19861,39.45028,-0.3963889,2020-06-10 21:00:00+00:00,76.0,o3,2020-06-10 21:00:00+00:00
20017,41.42608,2.1479921,2020-06-05 22:00:00+00:00,59.0,o3,2020-06-05 22:00:00+00:00
20051,40.47917,-3.37778,2020-06-10 01:00:00+00:00,46.0,o3,2020-06-10 01:00:00+00:00
20098,39.988888,-0.02611111,2020-06-11 00:00:00+00:00,58.0,o3,2020-06-11 00:00:00+00:00
20207,67.96735,24.112219,2020-06-11 01:00:00+00:00,62.806423,o3,2020-06-11 01:00:00+00:00
20414,43.562527,7.0072184,2020-06-10 22:00:00+00:00,21.7,o3,2020-06-10 22:00:00+00:00
